chr,start,end,strand,pvalue,qvalue,meth.diff
Chr5,27847417,27847517,*,0.000329233699071787,0.911788734741697,0.121960304046397
Chr2,25447615,25447715,*,0.000332982269357564,0.911788734741697,-0.361921814785584
Chr1,17972554,17972654,*,0.000337201992759384,0.911788734741697,-0.136612511038074
Chr5,11756751,11756851,*,0.00035609690359326,0.911788734741697,0.251227712884162
Chr5,11107745,11107845,*,0.000357508565198158,0.911788734741697,-0.104911902470354
Chr5,14663357,14663457,*,0.000373632246765972,0.911788734741697,0.13942507254475
Chr1,22413762,22413862,*,0.000373993136352878,0.911788734741697,-0.425816997899863
Chr2,17023945,17024045,*,0.000376255094903501,0.911788734741697,-0.160331002129931
Chr2,9975824,9975924,*,0.000381300562146441,0.911788734741697,0.128067673115555
Chr4,17475386,17475486,*,0.000381352599700429,0.911788734741697,-0.162625603714738
Chr1,26378180,26378280,*,0.000389738491255849,0.911788734741697,-0.203259092406713
Chr2,20034928,20035028,*,0.000409718433899249,0.911788734741697,0.103650602743609
Chr2,20158257,20158357,*,0.000414532095992125,0.911788734741697,0.118479988286934
Chr5,8155546,8155646,*,0.000420520624320131,0.911788734741697,-0.329870752331708
Chr2,5758370,5758470,*,0.000431287590950971,0.911788734741697,0.321194374861303
Chr1,13470885,13470985,*,0.000432871204336102,0.911788734741697,-0.385095887268904
Chr2,10971492,10971592,*,0.000435696846962483,0.911788734741697,0.176823689804464
Chr5,7285734,7285834,*,0.000437095124759638,0.911788734741697,-0.524579656644452
Chr1,7637327,7637427,*,0.000453822940234383,0.911788734741697,0.391655569469319
Chr1,12817108,12817208,*,0.000469266935507339,0.911788734741697,-0.180527552354969
Chr5,1121615,1121715,*,0.00047371704215292,0.911788734741697,-0.173793400205243
Chr2,5925884,5925984,*,0.000473795382362894,0.911788734741697,0.222111521563846
Chr4,27253937,27254037,*,0.00047746459654647,0.911788734741697,-0.205396735800646
Chr2,6967761,6967861,*,0.000481629126925711,0.911788734741697,0.158884239401966
Chr1,15820588,15820688,*,0.000497628224055086,0.911788734741697,-0.301068097577203
Chr5,21729406,21729506,*,0.000501199651247454,0.911788734741697,-0.110720459357007
Chr3,26134269,26134369,*,0.000504036915560456,0.911788734741697,0.387276767048108
Chr3,20672899,20672999,*,0.000517656309536442,0.911788734741697,0.241307067457417
Chr2,25349683,25349783,*,0.000524212561554368,0.911788734741697,0.100702346905348
Chr4,14366473,14366573,*,0.00053767135127883,0.911788734741697,-0.2712713112778
Chr4,5740345,5740445,*,0.000545950152799687,0.911788734741697,0.198765410286276
Chr2,29027917,29028017,*,0.000547678306364012,0.911788734741697,0.170172136041537
Chr2,6426819,6426919,*,0.000556792432062865,0.911788734741697,0.154391820374975
Chr1,21962003,21962103,*,0.000556931722628548,0.911788734741697,0.282372773049544
Chr4,25496437,25496537,*,0.000571049783809,0.911788734741697,-0.135354730842789
Chr4,27265633,27265733,*,0.000589135047068946,0.911788734741697,0.263518241587057
Chr4,12480829,12480929,*,0.000590942973236335,0.911788734741697,0.199657780122609
Chr2,14477896,14477996,*,0.000592780417132424,0.911788734741697,0.253776820006546
Chr1,6286564,6286664,*,0.000618356509579194,0.911788734741697,-0.25835125304577
Chr1,22863124,22863224,*,0.000618499412309924,0.911788734741697,0.0994962682836817
Chr4,17039959,17040059,*,0.000636754690417441,0.911788734741697,0.253712395625571
Chr1,9038290,9038390,*,0.000639716082180558,0.911788734741697,0.0947767351203651
Chr1,15478453,15478553,*,0.000642220020142909,0.911788734741697,-0.277334718750928
Chr4,2542989,2543089,*,0.00064882289883823,0.911788734741697,0.0959453492341315
Chr1,28152180,28152280,*,0.000651218509708299,0.911788734741697,0.163864715314343
Chr2,24239296,24239396,*,0.000661995865872244,0.911788734741697,0.12079842494379
Chr5,9974512,9974612,*,0.000668747862832697,0.911788734741697,0.369762757446723
Chr3,22210571,22210671,*,0.000672149757809659,0.911788734741697,-0.15667602094164
Chr3,5319038,5319138,*,0.000678088536598943,0.911788734741697,0.296649302502037
Chr1,22469230,22469330,*,0.000685171831110842,0.911788734741697,0.230663985605142
Chr4,6966084,6966184,*,0.000692799989582326,0.911788734741697,-0.370990389984973
Chr4,2498849,2498949,*,0.0006951792047079,0.911788734741697,-0.100705445703562
Chr4,5185696,5185796,*,0.000699549642740492,0.911788734741697,0.164632528949141
Chr5,22296319,22296419,*,0.000702596692226589,0.911788734741697,0.236134621776605
Chr1,2708689,2708789,*,0.000709653881825482,0.911788734741697,0.239039465239603
Chr4,7294597,7294697,*,0.000710854281005903,0.911788734741697,0.309880866144955
Chr5,15039971,15040071,*,0.000712666739404524,0.911788734741697,0.0858556364183784
Chr3,1277454,1277554,*,0.000715618208325213,0.911788734741697,-0.180613005158118
Chr1,24648980,24649080,*,0.000716379637370787,0.911788734741697,-0.108858279044044
Chr4,13032034,13032134,*,0.000727684319711864,0.911788734741697,-0.145245367784128
Chr3,18732305,18732405,*,0.000731361739597297,0.911788734741697,-0.160052775628781
Chr3,6157839,6157939,*,0.000731643594815249,0.911788734741697,-0.159570012335997
Chr5,29733758,29733858,*,0.000742812009381509,0.911788734741697,-0.205442044077882
Chr5,16234719,16234819,*,0.000766793806128534,0.911788734741697,-0.167681965444769
Chr4,19787556,19787656,*,0.000775425186602134,0.911788734741697,0.105368080740182
Chr3,17673980,17674080,*,0.000780507661437185,0.911788734741697,0.132409873705555
Chr5,18496572,18496672,*,0.000781094867360761,0.911788734741697,0.162527574857299
Chr1,364005,364105,*,0.000781421615971376,0.911788734741697,0.18324362344757
Chr5,27177376,27177476,*,0.000785559943200236,0.911788734741697,-0.255034506612081
Chr1,6251279,6251379,*,0.000786436741786898,0.911788734741697,0.256590223225303
Chr3,20253693,20253793,*,0.000787960891554121,0.911788734741697,0.307952581855836
Chr4,7903910,7904010,*,0.000790278254707723,0.911788734741697,0.184783543004361
Chr5,28937611,28937711,*,0.000790786744932708,0.911788734741697,-0.392706801526647
Chr2,8342476,8342576,*,0.000798890924817085,0.911788734741697,0.239333029376373
Chr4,22912126,22912226,*,0.000808812869571053,0.911788734741697,0.115634508793815
Chr5,1861157,1861257,*,0.000816650279190956,0.911788734741697,-0.1709841707606
Chr3,2350208,2350308,*,0.000823613136452761,0.911788734741697,0.142583020828594
Chr5,24544828,24544928,*,0.000832702220006379,0.911788734741697,0.104158914540987
Chr3,497993,498093,*,0.000838619505345804,0.911788734741697,0.382354593008906
Chr1,11490906,11491006,*,0.000839408024231138,0.911788734741697,0.394008027221027
Chr1,15716022,15716122,*,0.000842188827249467,0.911788734741697,-0.0837231525749556
Chr4,27558282,27558382,*,0.000847163647727521,0.911788734741697,-0.080374918607125
Chr5,3852577,3852677,*,0.000847244071217445,0.911788734741697,-0.188915458337212
Chr2,12281883,12281983,*,0.000851070309388364,0.911788734741697,-0.167264263397829
Chr4,7628976,7629076,*,0.000857899583950776,0.911788734741697,0.0770500116358182
Chr3,10958274,10958374,*,0.000858784798323992,0.911788734741697,-0.14021239038345
Chr3,28769340,28769440,*,0.000861708767657768,0.911788734741697,0.166615763406915
Chr1,10993572,10993672,*,0.000867289896248181,0.911788734741697,-0.103950102309138
Chr2,1419593,1419693,*,0.000873627143956442,0.911788734741697,-0.246488069578916
Chr3,4633310,4633410,*,0.000874776086400372,0.911788734741697,0.197286424889611
Chr3,16266800,16266900,*,0.000875277929363691,0.911788734741697,0.110182030126072
Chr5,22159427,22159527,*,0.000883407784829929,0.911788734741697,-0.144837572220189
Chr1,26129514,26129614,*,0.000912308794409683,0.911788734741697,-0.220773632362269
Chr1,1932478,1932578,*,0.000915435045163936,0.911788734741697,-0.148371046260128
Chr1,27626529,27626629,*,0.000921347661883179,0.911788734741697,0.120420971975867
Chr1,26699503,26699603,*,0.000925311113437263,0.911788734741697,-0.266674881296618
Chr2,25611199,25611299,*,0.000943378434086912,0.911788734741697,0.0993950156912221
Chr1,25080395,25080495,*,0.000946527788650283,0.911788734741697,-0.314978220176924
Chr4,12459926,12460026,*,0.000949252870647613,0.911788734741697,-0.0943069880193559
Chr2,25583504,25583604,*,0.000950960073371726,0.911788734741697,0.158271061793901
Chr1,3524288,3524388,*,0.000957682543392046,0.911788734741697,0.176236255454702
Chr5,20217400,20217500,*,0.000959129330118515,0.911788734741697,-0.278342583445516
Chr2,20789755,20789855,*,0.000964167448582004,0.911788734741697,0.203976604440811
Chr4,21542613,21542713,*,0.00100124209555725,0.911788734741697,-0.120224637497389
Chr4,14234267,14234367,*,0.00100176955599263,0.911788734741697,-0.334593695719931
Chr3,169613,169713,*,0.00100349008086535,0.911788734741697,0.238389791111849
Chr5,3095595,3095695,*,0.00101534213979419,0.911788734741697,-0.288279520091282
Chr2,16030393,16030493,*,0.00103421682428794,0.911788734741697,0.100432235009651
Chr2,10635890,10635990,*,0.00104265449112618,0.911788734741697,0.174785913146826
Chr5,3838951,3839051,*,0.00104567121783943,0.911788734741697,-0.179264215040797
Chr3,9345298,9345398,*,0.00105344644776453,0.911788734741697,0.387490313507165
Chr5,17386008,17386108,*,0.00106967520287694,0.911788734741697,-0.143285943627288
Chr5,18840907,18841007,*,0.00107947129116371,0.911788734741697,0.0925103890604241
Chr3,11674421,11674521,*,0.00109800038457858,0.911788734741697,-0.510499145918333
Chr4,13383124,13383224,*,0.00110391753168772,0.911788734741697,0.106601793740373
Chr2,27919605,27919705,*,0.00113902575411287,0.911788734741697,0.252226709290175
Chr4,24571137,24571237,*,0.00114071269948261,0.911788734741697,-0.207180100257741
Chr3,4029991,4030091,*,0.00114106938478762,0.911788734741697,-0.0746915976578667
Chr1,26240825,26240925,*,0.00114442188581736,0.911788734741697,-0.144782270365408
Chr3,17511861,17511961,*,0.00114546889604458,0.911788734741697,-0.387321230144788
Chr1,3101192,3101292,*,0.00114923837062759,0.911788734741697,-0.253745750453822
Chr3,17000202,17000302,*,0.00115496954291757,0.911788734741697,-0.0999669847529463
Chr5,25031472,25031572,*,0.0011729434375742,0.911788734741697,-0.312848786567492
Chr3,13196745,13196845,*,0.0011869934838349,0.911788734741697,0.0793865876653183
Chr5,16210468,16210568,*,0.0011956150706417,0.911788734741697,-0.151549000098849
Chr5,17581277,17581377,*,0.00121027177695063,0.911788734741697,0.21446401268279
Chr1,17979917,17980017,*,0.0012217394432925,0.911788734741697,0.167790109694075
Chr3,8029317,8029417,*,0.00124014353007376,0.911788734741697,-0.353988117858851
Chr1,18852289,18852389,*,0.00124034365595724,0.911788734741697,-0.171854244520538
Chr4,29298547,29298647,*,0.00125288703275634,0.911788734741697,-0.307205872479146
Chr1,19623640,19623740,*,0.00126721212261516,0.911788734741697,-0.21199324544765
Chr2,28619231,28619331,*,0.00126779875147444,0.911788734741697,0.121973278309794
Chr4,14297080,14297180,*,0.00127694173982552,0.911788734741697,0.0890002999907529
Chr4,6382693,6382793,*,0.00128253081136534,0.911788734741697,0.121842461437676
Chr5,26098168,26098268,*,0.00128332910217248,0.911788734741697,-0.159483073221278
Chr3,18048765,18048865,*,0.00129058626642682,0.911788734741697,0.0754777009562455
Chr5,6063765,6063865,*,0.0012913802195562,0.911788734741697,-0.111136886029397
Chr3,27898594,27898694,*,0.00129695893829251,0.911788734741697,0.468832937297109
Chr5,15265854,15265954,*,0.00129806657395517,0.911788734741697,0.123023316868767
Chr2,6853061,6853161,*,0.00130308811090278,0.911788734741697,-0.293589598570757
Chr5,22436320,22436420,*,0.00131195719420453,0.911788734741697,0.151580979642166
Chr5,16610700,16610800,*,0.00132054396272871,0.911788734741697,-0.206549173215047
Chr1,13846591,13846691,*,0.00132092651690864,0.911788734741697,0.164090954214532
Chr5,26142742,26142842,*,0.00132765369054054,0.911788734741697,0.246854056844429
Chr5,16276163,16276263,*,0.00133878411497157,0.911788734741697,-0.146321411531273
Chr2,21467428,21467528,*,0.00134005781537206,0.911788734741697,-0.464019278341963
Chr4,12391794,12391894,*,0.0013439235186168,0.911788734741697,0.222070325303809
Chr4,1271239,1271339,*,0.00134941100637639,0.911788734741697,0.143126623464604
Chr5,10808834,10808934,*,0.00135103506585492,0.911788734741697,-0.200873293737509
Chr2,24636389,24636489,*,0.00135945838223121,0.911788734741697,0.137197129673872
Chr4,16907281,16907381,*,0.0013767871819131,0.911788734741697,0.128434871447017
Chr3,7013789,7013889,*,0.00139819615655277,0.911788734741697,0.125545215086176
Chr1,7313901,7314001,*,0.00139910454836525,0.911788734741697,0.512583306239003
Chr5,22952829,22952929,*,0.00140911809063767,0.911788734741697,0.289293987175037
Chr4,14590143,14590243,*,0.00140919367207044,0.911788734741697,0.225237089113755
Chr3,22851287,22851387,*,0.00141664138236106,0.911788734741697,-0.106119638486281
Chr3,23026202,23026302,*,0.00141796605639464,0.911788734741697,0.21884999635856
Chr3,17689564,17689664,*,0.00141979221631008,0.911788734741697,0.545660587023798
Chr3,19396136,19396236,*,0.00142119632003685,0.911788734741697,-0.0703845504825306
Chr4,3788596,3788696,*,0.00142409890907471,0.911788734741697,0.117120112575986
Chr1,18619794,18619894,*,0.00143750352054877,0.911788734741697,-0.145681514936325
Chr5,5195337,5195437,*,0.00144411982829273,0.911788734741697,0.704047654614425
Chr1,24108412,24108512,*,0.00144604188832064,0.911788734741697,0.352616217231808
Chr1,3449400,3449500,*,0.00146222971345945,0.911788734741697,0.199058262835283
Chr1,28655975,28656075,*,0.0014662383547145,0.911788734741697,0.320280749261881
Chr3,12983885,12983985,*,0.00146796962012627,0.911788734741697,-0.0831839867504598
Chr4,14426120,14426220,*,0.00147960014316985,0.911788734741697,0.163044346771757
Chr4,1781901,1782001,*,0.00148590808496013,0.911788734741697,-0.143062305719462
Chr4,12270920,12271020,*,0.00148743759473908,0.911788734741697,-0.272999792510824
Chr4,20176374,20176474,*,0.00149465120456472,0.911788734741697,0.107770608643054
Chr1,21468368,21468468,*,0.00149505440918596,0.911788734741697,0.157606462577523
Chr2,19905545,19905645,*,0.00150014969043388,0.911788734741697,0.116957659327719
Chr5,16333942,16334042,*,0.00150179845358506,0.911788734741697,-0.0927124611427418
Chr5,451119,451219,*,0.00150787177510597,0.911788734741697,0.170749417958258
Chr1,5770711,5770811,*,0.00151501339982071,0.911788734741697,0.159764928978382
Chr2,16347409,16347509,*,0.00151710518215408,0.911788734741697,0.132868155060684
Chr5,29470702,29470802,*,0.00152342732782796,0.911788734741697,0.128083615423606
Chr2,25167557,25167657,*,0.00152818815321145,0.911788734741697,0.104102214817023
Chr1,14590427,14590527,*,0.00153095958210965,0.911788734741697,-0.0799639509576519
Chr5,24309487,24309587,*,0.00153735189330138,0.911788734741697,-0.0769046053621579
Chr2,15551729,15551829,*,0.00154422741448935,0.911788734741697,0.240031702714326
Chr1,9412095,9412195,*,0.00155481457437273,0.911788734741697,0.297942060853258
Chr3,19762585,19762685,*,0.00155863051381752,0.911788734741697,-0.107221970343468
Chr1,10857878,10857978,*,0.00156679400075862,0.911788734741697,0.125484040758181
Chr2,7930555,7930655,*,0.00159876920874689,0.911788734741697,0.134711567001141
Chr4,24244678,24244778,*,0.00159877028231988,0.911788734741697,0.0739430850079312
Chr2,1789313,1789413,*,0.00160369733923657,0.911788734741697,0.357100383117057
Chr3,20643166,20643266,*,0.00160406646199453,0.911788734741697,0.106836492521336
Chr5,28539780,28539880,*,0.00160506719234162,0.911788734741697,0.219313034903537
Chr1,19549842,19549942,*,0.00160584157902036,0.911788734741697,-0.298043996556148
Chr5,26489150,26489250,*,0.00160619075382979,0.911788734741697,0.142340434214547
Chr5,10274559,10274659,*,0.00161255204603325,0.911788734741697,-0.103805009873496
Chr3,1389911,1390011,*,0.00161564944396511,0.911788734741697,0.0808272986297491
Chr3,27531124,27531224,*,0.00161899910207706,0.911788734741697,-0.123868142355343
Chr5,21972139,21972239,*,0.00163474220494158,0.911788734741697,0.274050878220197
Chr1,26173553,26173653,*,0.00163578816452114,0.911788734741697,-0.148229934234244
Chr5,21255589,21255689,*,0.00163903795409916,0.911788734741697,0.108382048067429
Chr3,19015659,19015759,*,0.00164862936599555,0.911788734741697,0.238507378567292
Chr2,26369934,26370034,*,0.00165381985075471,0.911788734741697,0.0977196164507798
Chr4,23017194,23017294,*,0.00166109868367961,0.911788734741697,-0.170799255062931
Chr5,6522431,6522531,*,0.00166111604908059,0.911788734741697,-0.0790537055074386
Chr1,23288807,23288907,*,0.00166930410734809,0.911788734741697,0.220603483703221
Chr3,7738243,7738343,*,0.00167075383375087,0.911788734741697,-0.369916086976513
Chr5,28768832,28768932,*,0.00167096564698707,0.911788734741697,0.228765130381667
Chr5,9726430,9726530,*,0.0016836401470606,0.911788734741697,0.216042019951509
Chr5,20244620,20244720,*,0.00168572731442066,0.911788734741697,-0.277229129150772
Chr1,17759966,17760066,*,0.00168677168899178,0.911788734741697,-0.183717875753926
Chr2,21271298,21271398,*,0.00169789123790696,0.911788734741697,-0.101203533344004
Chr3,15647817,15647917,*,0.00170653095639778,0.911788734741697,0.261475924875807
Chr4,14709107,14709207,*,0.00171480755585379,0.911788734741697,-0.380402199207299
Chr1,1550844,1550944,*,0.00171750113547279,0.911788734741697,0.0871797672541129
Chr4,19879996,19880096,*,0.00172358134834224,0.911788734741697,0.189319585148575
Chr1,2565827,2565927,*,0.00172999761031457,0.911788734741697,0.407039197474713
Chr1,13841205,13841305,*,0.00174165483095831,0.911788734741697,0.106123762157264
Chr3,22909106,22909206,*,0.001748569227983,0.911788734741697,-0.255784666120109
Chr2,1415910,1416010,*,0.00175006997135638,0.911788734741697,0.200951812062978
Chr4,24120565,24120665,*,0.0017518948399398,0.911788734741697,0.112810741859713
Chr3,27121407,27121507,*,0.00176001918525071,0.911788734741697,0.271194474339996
Chr5,2013924,2014024,*,0.00177289596935508,0.911788734741697,0.410974384047639
Chr3,28085457,28085557,*,0.00178380021114299,0.911788734741697,0.391210588245694
Chr1,22520611,22520711,*,0.00178662199039409,0.911788734741697,0.129765959195358
Chr2,24439458,24439558,*,0.00178677422954982,0.911788734741697,0.110930032913917
Chr4,27311093,27311193,*,0.00178997874451337,0.911788734741697,-0.469151746743237
Chr1,27166994,27167094,*,0.00179164331411286,0.911788734741697,0.216392647746101
Chr3,15168040,15168140,*,0.00179879286550291,0.911788734741697,0.269736802510067
Chr4,1160259,1160359,*,0.00180553635156577,0.911788734741697,-0.122430401002707
Chr5,2320148,2320248,*,0.00181351341729342,0.911788734741697,0.150794351256113
Chr3,4736745,4736845,*,0.00181854303158621,0.911788734741697,-0.207956947094325
Chr5,13271866,13271966,*,0.00184342429371568,0.911788734741697,-0.122898670659549
Chr2,2898923,2899023,*,0.00185884733327206,0.911788734741697,0.276459569100938
Chr2,18799066,18799166,*,0.00186242725463017,0.911788734741697,-0.0967701925450972
Chr4,10328384,10328484,*,0.0018769460188521,0.911788734741697,-0.100450998707067
Chr2,13309640,13309740,*,0.00188780245569596,0.911788734741697,0.190265036390137
Chr4,29565302,29565402,*,0.00189589391230356,0.911788734741697,-0.12641117026678
Chr2,2178607,2178707,*,0.00189991697115567,0.911788734741697,-0.109798367380321
Chr3,11012281,11012381,*,0.00190167404331435,0.911788734741697,0.134295903721214
Chr3,12242423,12242523,*,0.00190757550022093,0.911788734741697,0.109165536449599
Chr2,3616632,3616732,*,0.00190805038220624,0.911788734741697,-0.103602480039986
Chr2,13551170,13551270,*,0.00190828542638227,0.911788734741697,-0.192540871618664
Chr1,19262624,19262724,*,0.00190924857739723,0.911788734741697,0.0865968503421872
Chr5,9558168,9558268,*,0.00192599729381788,0.911788734741697,0.276068040051237
Chr2,16990493,16990593,*,0.00195142172404771,0.911788734741697,0.438390448272875
Chr1,3691606,3691706,*,0.00195245863224345,0.911788734741697,-0.184214355261015
Chr5,18923473,18923573,*,0.00195304161887873,0.911788734741697,0.131842108637683
Chr4,4647009,4647109,*,0.00196262525721755,0.911788734741697,0.174872256980827
Chr2,11973309,11973409,*,0.00196459907487778,0.911788734741697,0.107247549104027
Chr3,8303311,8303411,*,0.00196469938023681,0.911788734741697,-0.432588568463277
Chr5,2039977,2040077,*,0.0019707020153499,0.911788734741697,0.151591073714266
Chr4,10533681,10533781,*,0.00197457023774381,0.911788734741697,-0.0851105842959655
Chr5,5510717,5510817,*,0.00198140113976209,0.911788734741697,0.261562786392277
Chr5,13904570,13904670,*,0.00200223306806748,0.911788734741697,0.283479298132631
Chr5,27208453,27208553,*,0.00200234622347259,0.911788734741697,0.131067169494865
Chr3,20860617,20860717,*,0.00200470197567345,0.911788734741697,-0.113249238405913
Chr4,11945168,11945268,*,0.00200867394964114,0.911788734741697,0.355892405252656
Chr1,12821225,12821325,*,0.0020171363777687,0.911788734741697,0.401721278176399
Chr5,15970142,15970242,*,0.00203663501101068,0.911788734741697,-0.226903674524777
Chr5,6394398,6394498,*,0.00204903832406938,0.911788734741697,0.131531718565944
Chr5,21623465,21623565,*,0.00205675301145917,0.911788734741697,0.147123640843809
Chr4,98166,98266,*,0.00205712157163088,0.911788734741697,-0.0914344568222157
Chr3,29457290,29457390,*,0.00205917850704408,0.911788734741697,0.139824147162773
Chr3,9958866,9958966,*,0.00205985009306055,0.911788734741697,-0.290222366886612
Chr2,2369629,2369729,*,0.00206710265625655,0.911788734741697,-0.157676131441833
Chr3,8242208,8242308,*,0.00207320553758231,0.911788734741697,-0.33218494590931
Chr4,2491828,2491928,*,0.00207776655413284,0.911788734741697,0.0757295829472697
Chr2,22052809,22052909,*,0.0020813779475815,0.911788734741697,0.110340577888456
Chr5,20397608,20397708,*,0.00208240215539448,0.911788734741697,-0.372164364161942
Chr3,10881005,10881105,*,0.00209263095628624,0.911788734741697,-0.110430759693312
Chr1,14774892,14774992,*,0.00209688930014465,0.911788734741697,0.125842579221786
Chr1,17568107,17568207,*,0.00211218370554936,0.911788734741697,0.1783547847916
Chr2,28333956,28334056,*,0.00211414434214119,0.911788734741697,-0.250067828130362
Chr2,23864396,23864496,*,0.00211582410711365,0.911788734741697,0.260354804160033
Chr1,28876295,28876395,*,0.00212172713786736,0.911788734741697,-0.18482583136335
Chr3,2598719,2598819,*,0.00212323329201016,0.911788734741697,-0.0887249055282043
Chr4,4220335,4220435,*,0.00213773780596283,0.911788734741697,0.267073785621148
Chr3,28748500,28748600,*,0.0021690529421068,0.911788734741697,-0.157717415144002
Chr2,9191622,9191722,*,0.00217111000773865,0.911788734741697,-0.193033501125044
Chr1,19663271,19663371,*,0.00217479028062854,0.911788734741697,0.137798320506672
Chr1,11636030,11636130,*,0.00218722082195964,0.911788734741697,0.119194582351036
Chr5,16503908,16504008,*,0.00219068570095561,0.911788734741697,0.213198186789361
Chr3,28106305,28106405,*,0.00219116560191305,0.911788734741697,-0.19280906762789
Chr3,6445898,6445998,*,0.00219940248848085,0.911788734741697,0.302713055262346
Chr3,5770133,5770233,*,0.00220225835456449,0.911788734741697,-0.0916143847715263
Chr3,6820670,6820770,*,0.00220384166807109,0.911788734741697,0.180894925606912
Chr2,8406652,8406752,*,0.00220415340917813,0.911788734741697,0.139625689834642
Chr1,8501998,8502098,*,0.00221206415283953,0.911788734741697,-0.0620228219514883
Chr3,20283869,20283969,*,0.00221467134012895,0.911788734741697,-0.160897344345065
Chr4,5951957,5952057,*,0.0022155255410208,0.911788734741697,0.108697204472362
Chr3,18215511,18215611,*,0.00221624550368097,0.911788734741697,0.06547497608291
Chr2,23052463,23052563,*,0.0022195001149635,0.911788734741697,-0.37441192877197
Chr5,6260291,6260391,*,0.00222568760268187,0.911788734741697,0.103888101327466
Chr1,24029585,24029685,*,0.00223098154093738,0.911788734741697,0.0864991698363264
Chr3,12586601,12586701,*,0.00223705412809884,0.911788734741697,0.133532765776339
Chr4,14427762,14427862,*,0.00224471508868395,0.911788734741697,0.0913536135967316
Chr4,3152574,3152674,*,0.00224879868498829,0.911788734741697,-0.497592862158009
Chr1,7534061,7534161,*,0.00224915422790959,0.911788734741697,-0.116261841683087
Chr1,10367314,10367414,*,0.00225911929516437,0.911788734741697,-0.107953704733079
Chr4,8957282,8957382,*,0.00226522382980389,0.911788734741697,0.0934816870642025
Chr2,14000033,14000133,*,0.00227888975797326,0.911788734741697,-0.431089444280113
Chr1,29980931,29981031,*,0.00227948583520893,0.911788734741697,0.144385260298873
Chr2,16678333,16678433,*,0.00228109567113627,0.911788734741697,-0.292831666228099
Chr3,28076829,28076929,*,0.00229536977421627,0.911788734741697,0.0810305124726887
Chr1,14730953,14731053,*,0.00231987718015401,0.911788734741697,0.151646820150533
Chr2,20090219,20090319,*,0.00232178768060348,0.911788734741697,0.255720085626027
Chr1,5758240,5758340,*,0.00233524742351519,0.911788734741697,-0.168843209149041
Chr2,28790710,28790810,*,0.00234140149249343,0.911788734741697,0.113724141125884
Chr3,17278924,17279024,*,0.00234548636869608,0.911788734741697,-0.147913993694953
Chr5,19598751,19598851,*,0.00234612207990309,0.911788734741697,0.204963342645277
Chr2,10888334,10888434,*,0.00234992728064366,0.911788734741697,-0.0915136891863367
Chr5,29577097,29577197,*,0.00235250752039187,0.911788734741697,-0.350589281704714
